package,n_v10,n_removed,n_v11,n_masked,n_gap_only,n_bl_only,n_both,tier_counts_v11
GM12878_25kb,28259,10,28249,557,481,19,57,"{""D3"": 8942, ""D1"": 8809, ""D4"": 5304, ""D5"": 3874, ""D2"": 1320}"
GM12878_10kb,69479,0,69479,1206,1075,31,100,"{""D1"": 29286, ""D3"": 20603, ""D4"": 8900, ""D5"": 6272, ""D2"": 4418}"
IMR90_25kb,28476,0,28476,434,394,10,30,"{""D3"": 9647, ""D1"": 8533, ""D4"": 5728, ""D5"": 3066, ""D2"": 1502}"
IMR90_10kb,65157,0,65157,965,872,31,62,"{""D1"": 26519, ""D3"": 19535, ""D4"": 9557, ""D5"": 4999, ""D2"": 4547}"
HepG2_25kb,29513,0,29513,400,380,5,15,"{""D3"": 12705, ""D4"": 5794, ""D1"": 5688, ""D5"": 4771, ""D2"": 555}"
HepG2_10kb,63860,2,63858,912,856,12,44,"{""D3"": 27761, ""D1"": 18510, ""D5"": 8112, ""D4"": 7864, ""D2"": 1611}"
