package,n_v10,n_v11,D1_v10,D2_v10,D3_v10,D4_v10,D5_v10,D1_v11,D2_v11,D3_v11,D4_v11,D5_v11,D1_delta,D2_delta,D3_delta,D4_delta,D5_delta
GM12878_25kb,28259,28249,8800,1329,8948,5304,3878,8809,1320,8942,5304,3874,9,-9,-6,0,-4
GM12878_10kb,69479,69479,29263,4436,20596,8911,6273,29286,4418,20603,8900,6272,23,-18,7,-11,-1
IMR90_25kb,28476,28476,8520,1512,9640,5734,3070,8533,1502,9647,5728,3066,13,-10,7,-6,-4
IMR90_10kb,65157,65157,26491,4570,19531,9561,5004,26519,4547,19535,9557,4999,28,-23,4,-4,-5
HepG2_25kb,29513,29513,5684,559,12701,5797,4772,5688,555,12705,5794,4771,4,-4,4,-3,-1
HepG2_10kb,63860,63858,18495,1622,27756,7872,8115,18510,1611,27761,7864,8112,15,-11,5,-8,-3
TOTAL,284744,284732,97253,14028,99172,43179,31112,97345,13953,99193,43147,31094,92,-75,21,-32,-18
